detection_rate,delta,gamma,resilient,result,theta_base,alpha_base,psi
1.0,1,1,RESILIENT,DONE,0.75,0.05,0.95
1.0,1,1,RESILIENT,DONE,0.75,0.05,0.95
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,1,1,RESILIENT,DONE,0.75,0.05,0.95
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.6000000000000001
1.0,0,0,NOT RESILIENT,DONE,0.75,0.05,0.6000000000000001
1.0,0,1,NOT RESILIENT,DONE,0.75,0.05,0.8
1.0,0,1,NOT RESILIENT,DONE,0.75,0.05,0.8
1.0,0,1,NOT RESILIENT,DONE,0.75,0.05,0.8
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,0,0,NOT RESILIENT,DONE,0.75,0.05,0.6000000000000001
1.0,0,0,NOT RESILIENT,DONE,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,DONE,0.75,0.05,0.8
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,0,0,NOT RESILIENT,DONE,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,DONE,0.75,0.05,0.6000000000000001
1.0,0,0,NOT RESILIENT,DONE,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,0,0,NOT RESILIENT,HALTED,0.75,0.05,0.8
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,0,0,NOT RESILIENT,DONE,0.75,0.05,0.6000000000000001
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,1,1,RESILIENT,DONE,0.75,0.05,1
1.0,1,1,RESILIENT,HALTED,0.75,0.05,1
